TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Pareucalanus langae,Pareucalanus,langae,354594,,,
Lensia conoidea,Lensia,conoidea,135426,,,
Neocalanus spp.,Neocalanus,spp.,104155,2.3,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Ditrichocorycaeus dahli,Ditrichocorycaeus,dahli,764980,0.835,Razouls 2012,Carnivore
Stomatopod,,,14355,,,
Thalia democratica,Thalia,democratica,137279,,,
Oncaea media complex,Oncaea,media complex,128938,0.71,Bottger-Schnack 2001,Omnivore
Candacia cheirura,Candacia,cheirura,345777,2.625,Boltovskoy 1999,Carnivore
Candacia cheirura,Candacia,cheirura,345777,2.19,Boltovskoy 1999,Carnivore
Ctenocalanus vanus,Ctenocalanus,vanus,104510,1.23,Boltovskoy 1999,Herbivore
Eucalanus elongatus,Eucalanus,elongatus,149718,4.1,Razouls 2012,Herbivore
Euterpina acutifrons,Euterpina,acutifrons,116162,0.53,Boltovskoy 1999,Omnivore
Pontellina plumata,Pontellina,plumata,104743,1.64,Boltovskoy 1999,Carnivore
Candacia catula,Candacia,catula,220913,1.475,Boltovskoy 1999,Carnivore
Acartia (Acartia) negligens,Acartia (Acartia),negligens,346030,1.155,Boltovskoy 1999,Omnivore
Acrocalanus gibber,Acrocalanus,gibber,104645,1.03,Boltovskoy 1999,Herbivore
Calanoides carinatus,Calanoides,carinatus,104462,2.525,Boltovskoy 1999,Herbivore
Calocalanus pavo,Calocalanus,pavo,104669,1.04,Boltovskoy 1999,Herbivore
Acrocalanus spp.,Acrocalanus,spp.,104192,1.095,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Amphipod,,,1135,,,
Candacia catula,Candacia,catula,220913,1.525,Boltovskoy 1999,Carnivore
Mecynocera clausi,Mecynocera,clausi,104616,1.03,Boltovskoy 1999,Herbivore
Oithona spp.,Oithona,spp.,106485,0.36,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Oncaea mediterranea complex,Oncaea,mediterranea complex,128939,1.4,Bottger-Schnack 1997,Omnivore
Rhincalanidae j,,,345271,2.4,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Rhincalanus cornutus,Rhincalanus,cornutus,104542,3.35,Boltovskoy 1999,Herbivore
Sapphirina cf. nigromaculata,Sapphirina,cf. nigromaculata,129053,2.18,Boltovskoy 1999,Omnivore
Scolecithrix danae,Scolecithrix,danae,104821,2.1,Boltovskoy 1999,Herbivore
Temora stylifera,Temora,stylifera,104879,1.725,Boltovskoy 1999,Herbivore
Temoropia mayumbaensis,Temoropia,mayumbaensis,104881,0.875,Boltovskoy 1999,Omnivore
Undinula vulgaris,Undinula,vulgaris,104473,2.75,Boltovskoy 1999,Herbivore
Gammarid amphipod,,,1207,,,
Evadne nordmanni,Evadne,nordmanni,106273,,,
Euphausiid calyptope,,,110671,,,
Gastropod veliger,,,101,,,
Obelia spp.,Obelia,spp.,117034,,,
Polychaete,,,883,,,
Scottocalanus spp.,Scottocalanus,spp.,104232,4.519,Razouls 2013,Herbivore
Oncaea scottodicarloi,Oncaea,scottodicarloi,128950,0.545,Bottger-Schnack 2001,Omnivore
Pontellopsis krameri,Pontellopsis,krameri,360246,2.42,Razouls 2012,Carnivore
Calocalanus spp.,Calocalanus,spp.,104193,0.765,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Onychocorycaeus catus,Onychocorycaeus,catus,128816,0.885,Razouls 2012,Carnivore
Calanopia aurivilli,Calanopia,aurivilli,346200,1.24,Razouls 2013,Carnivore
Labidocera minuta,Labidocera,minuta,220921,2,Boltovskoy 1999,Carnivore
Clausocalanus minor,Clausocalanus,minor,220842,1.17,Frost & Fleminger 1968,Herbivore
Centropages australiensis,Centropages,australiensis,346252,1.5,Razouls 2012,Omnivore
Centropages bradyi,Centropages,bradyi,104491,2.15,Boltovskoy 1999,Omnivore
Clausocalanus arcuicornis,Clausocalanus,arcuicornis,104502,1.07,Frost & Fleminger 1968,Herbivore
Clausocalanus spp.,Clausocalanus,spp.,104161,1.03,‘Clausocalanus m’ (male) size range based on the min & max size range all the female species of the Clausocalanus genus in the database (due to the lack of identification of the males in the genus),Herbivore
Tortanus spp.,Tortanus,spp.,157683,0.9,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Tortanus spp.,Tortanus,spp.,157683,1.5,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Pseudodiaptomus mertoni,Pseudodiaptomus,mertoni,355172,1.2,Razouls 2012,Omnivore
Clausocalanus mastigophorus,Clausocalanus,mastigophorus,104506,1.535,Frost & Fleminger 1968,Herbivore
Centropages elegans,Centropages,elegans,346255,2.045,Razouls 2012,Omnivore
Euchaeta acuta,Euchaeta,acuta,104550,3.94,Boltovskoy 1999,Carnivore
Ditrichocorycaeus dahli,Ditrichocorycaeus,dahli,764980,1.03,Razouls 2012,Carnivore
Labidocera cervi,Labidocera,cervi,346588,3.02,Razouls 2012,Carnivore
Pontellopsis krameri,Pontellopsis,krameri,360246,1.885,Razouls 2012,Carnivore
Pontellina plumata,Pontellina,plumata,104743,1.69,Boltovskoy 1999,Carnivore
Onychocorycaeus pacificus,Onychocorycaeus,pacificus,359744,1.13,Razouls 2012,Carnivore
Onychocorycaeus pumilus,Onychocorycaeus,pumilus,128820,0.68,Razouls 2012,Carnivore
Clytemnestra farrani,Clytemnestra,farrani,346283,0.94,Razouls 2012,Omnivore
Neocalanus spp.,Neocalanus,spp.,104155,3.35,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Thaliacean,,,22626,,,
Ditrichocorycaeus lubbocki,Ditrichocorycaeus,lubbocki,128807,0.89,Razouls 2012,Carnivore
Clausocalanus brevipes,Clausocalanus,brevipes,342443,1.195,Frost & Fleminger 1968,Herbivore
Onychocorycaeus pacificus,Onychocorycaeus,pacificus,359744,1.07,Razouls 2012,Carnivore
Onychocorycaeus pumilus,Onychocorycaeus,pumilus,128820,0.73,Razouls 2012,Carnivore
Calanus australis,Calanus,australis,345760,2.6,Boltovskoy 1999,Herbivore
Triconia conifera complex,Triconia,conifera complex,128957,1.11,Razouls 2012,Omnivore
Calanoides spp.,Calanoides,spp.,104151,2.465,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Tisbidae spp.,Tisbidae,spp.,115183,1,Johnson M.W. & J.B. Olson. (1948),
Centropages calaninus,Centropages,calaninus,104492,1.95,Boltovskoy 1999,Omnivore
Oithona setigera,Oithona,setigera,106655,1.52,Nishida 1985,Herbivore
Oithona decipiens/similis,Oithona,decipiens/similis,106485,0.785,Nishida 1985,Herbivore
Candacia discaudata,Candacia,discaudata,346235,1.65,Razouls 2012,Carnivore
Candacia spp.,Candacia,spp.,104157,2.04,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Euchaeta indica,Euchaeta,indica,346438,2.605,"Bradford Haakonssen & Jillett 1983",Carnivore
Euchaeta rimana,Euchaeta,rimana,346444,3.605,"Bradford Haakonssen & Jillett 1983",Carnivore
Centropages furcatus,Centropages,furcatus,104495,1.55,Boltovskoy 1999,Omnivore
Narcomedusae,,,16349,,,
Corycaeus crassiusculus,Corycaeus,crassiusculus,128799,1.505,Razouls 2012,Carnivore
Copilia spp.,Copilia,spp.,128721,2.2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Oithona spp.,Oithona,spp.,106485,1.13,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Clausocalanus farrani/jobei,Clausocalanus,farrani/jobei,104504,1.1,,Herbivore
Aetideus spp.,Aetideus,spp.,104112,1.51,,Omnivore
Augaptilus spp.,Augaptilus,spp.,104137,4.55,Boltovskoy 1999,Carnivore
Temora spp.,Temora,spp.,104241,1.45,Razouls 2012,Herbivore
Pontella spp.,Pontella,spp.,104209,1.69,Based on size of female spp. in database.,Carnivore
Agetus flaccus,Agetus,flaccus,128795,1.545,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Subeucalanus pileatus,Subeucalanus,pileatus,104547,2.225,Boltovskoy 1999,Herbivore
Euchaeta spp.,Euchaeta,spp.,104174,3.155,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Euchaeta rimana,Euchaeta,rimana,346444,3.55,"Bradford Haakonssen & Jillett 1983",Carnivore
Heterorhabdus austrinus,Heterorhabdus,austrinus,343728,3.355,,Carnivore
Calanus spp.,Calanus,spp.,104152,3.95,Razouls 2013,Herbivore
Euchirella spp.,Euchirella,spp.,104120,4.725,Boltovskoy 1999 Based on E. rostrata and E. rostromagna female,Herbivore
Primno macropa,Primno,macropa,180759,,,
Pseudosagitta gazellae,Pseudosagitta,gazellae,266258,,,
Eucalanus spp.,Eucalanus,spp.,104171,5.85,,Herbivore
