NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
YON20141120,620,Yongala,-19.30847,147.61842,2014-11-21 08:48:00,7.00462
ROT20160722,719,Rottnest Island,-32,115.41667,2016-07-22 13:20:00,20.89571
MAI20160321,677,Maria Island,-42.59667,148.23333,2016-03-22 10:11:00,6.08246
YON20160215,688,Yongala,-19.30847,147.61842,2016-02-15 10:18:00,32.2757
YON20160321,689,Yongala,-19.30847,147.61842,2016-03-21 10:31:00,16.68356
MAI20160720,698,Maria Island,-42.59667,148.23333,2016-07-21 09:30:00,0.32534
ROT20151022,670,Rottnest Island,-32,115.41667,2015-10-22 09:36:00,5.96458
NSI20151216,673,North Stradbroke,-27.345,153.562,2015-12-16 10:30:00,14.55034
NSI20160120,674,North Stradbroke,-27.345,153.562,2016-01-20 10:30:00,10.80827
ROT20160527,702,Rottnest Island,-32,115.41667,2016-05-27 09:30:00,25.02927
ROT20160621,705,Rottnest Island,-32,115.41667,2016-06-21 09:26:00,26.46737
DAR20160530,706,Darwin,-12.4,130.76805,2016-05-31 07:50:00,29.30428
NSI20160720,710,North Stradbroke,-27.345,153.562,2016-07-20 10:30:00,9.09155
MAI20160831,712,Maria Island,-42.59667,148.23333,2016-08-31 10:26:00,2.88563
ROT20160502,701,Rottnest Island,-32,115.41667,2016-05-02 09:44:00,12.73074
MAI20160927,713,Maria Island,-42.59667,148.23333,2016-09-27 10:10:00,10.4675
NSI20160920,714,North Stradbroke,-27.345,153.562,2016-09-20 10:15:00,10.52536
PHB20160926,742,Port Hacking,-34.11923,151.22667,2016-09-27 09:54:00,10.68675
PHB20170205,749,Port Hacking,-34.11923,151.22667,2017-02-06 10:49:00,8.86908
NSI20170516,766,North Stradbroke,-27.345,153.562,2017-05-16 10:20:00,10.49964
ROT20170626,778,Rottnest Island,-32,115.41667,2017-06-26 09:46:00,13.58731
