NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
MAI20190925,972,Maria Island,-42.59667,148.23333,2019-09-25 10:03:00,9.08597
NSI20181023,871,North Stradbroke,-27.345,153.562,2018-10-23 10:30:00,15.18044
DAR20190723_0330,978,Darwin,-12.4,130.76805,2019-07-23 13:00:00,44.43279
PHB20180905,874,Port Hacking,-34.11923,151.22667,2018-09-05 10:50:00,50.6825
ROT20200605,1077,Rottnest Island,-32,115.41667,2020-06-05 09:13:00,16.44387
ROT20200710,1078,Rottnest Island,-32,115.41667,2020-07-10 10:25:00,25.40844
ROT20200825,1081,Rottnest Island,-32,115.41667,2020-08-25 10:40:00,20.68746
YON20200611,1084,Yongala,-19.30847,147.61842,2020-06-12 09:09:00,40.80366
PHB20200812,1070,Port Hacking,-34.11923,151.22667,2020-08-13 09:55:00,3.38369
DAR20200204_0330,1008,Darwin,-12.4,130.76805,2020-02-04 13:00:00,59.0357
MAI20191210,1001,Maria Island,-42.59667,148.23333,2019-12-11 09:30:00,9.58106
